S	Community	Nodes	
1.0	1	15, 14, 16, 17, 18, 19, 20, 156, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34	
	2	70, 71, 72, 73	
	3	134, 135, 136, 137, 138, 139, 140, 141, 142, 143	
	4	157, 127, 158, 168, 126, 128, 129, 130, 187, 188, 189, 172, 173, 99, 94, 95, 96, 97, 98	
	5	185, 45, 36, 35, 37, 38, 39, 40, 41, 102, 103, 104, 105, 106, 107, 108, 50, 46, 21, 80, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93	
	6	190, 191, 192, 193, 194, 195, 196, 197	
	7	212, 49, 47, 48, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69	
	8	232, 215, 216, 233, 225, 180, 181, 198, 199, 240, 227, 241, 251, 246, 238, 132, 131, 236, 202, 115, 113, 114, 116, 117, 118, 133	
	9	242, 243, 244, 245	
	10	253, 254, 255, 204, 205, 206, 122, 121, 123, 124, 125, 207, 208, 209, 210, 211, 214, 119, 1, 2, 5, 120, 182, 183, 186, 110, 109, 111, 234, 218, 235, 213, 149, 43, 101, 150, 151, 152, 51, 9, 167, 12, 10, 11, 24, 230, 229, 222, 223, 247, 248, 239, 217, 219, 237, 231, 252, 176, 177, 178, 179, 174, 145, 175, 144, 147, 112, 148, 220, 203, 221, 166, 146, 165, 162, 23, 163, 164, 171, 22, 184, 154, 153, 155, 228, 226, 170, 169, 200, 201, 161, 160, 100, 13, 4, 74, 75, 250, 249, 224, 159, 42, 8, 7, 0, 3, 6, 44	
